
Project Name: closure-compiler

Commit#: 161666f048d59314dc1ecdcb57f0a578e68188a5	TP_Semantic = 3   (Auto = 3   , Manual = 0  ), FP = 0, TN = 4, FN = 0	-CR_Semantic =	3	-CR_Fine =	3	-[#Contradicting FineDiffs =	6	(#Auto-Resolved:	3	, #Manual-Resolved:	3  )]	-Status = Succees
Commit#: 1df58e0e2af1a1235f4dfaec840e9fb5efe810eb	TP_Semantic = 11  (Auto = 9   , Manual = 2  ), FP = 0, TN = 2, FN = 1	-CR_Semantic =	12	-CR_Fine =	5	-[#Contradicting FineDiffs =	17	(#Auto-Resolved:	10	, #Manual-Resolved:	7  )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Method - DiffEOperation.[parseInputs()] - DiffEOperation.[parseInputs()].CONTRADICTING ( MODIFY | MODIFY ) -C-10
Commit#: 3f15665514934d20fe8caa8e73924bd229d30bcc	TP_Semantic = 9   (Auto = 9   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	9	-CR_Fine =	6	-[#Contradicting FineDiffs =	17	(#Auto-Resolved:	11	, #Manual-Resolved:	6  )]	-Status = Succees
Commit#: 6b4e69083998c9683e34f21d191f3e2f11412ec8	TP_Semantic = 31  (Auto = 27  , Manual = 4  ), FP = 1, TN = 0, FN = 0	-CR_Semantic =	32	-CR_Fine =	31	-[#Contradicting FineDiffs =	70	(#Auto-Resolved:	35	, #Manual-Resolved:	35 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Inline Method - DiffEOperation.[processAMDAndCommonJSModules()] - CONTRADICTING ( DELETE | MODIFY ) -C-32
Commit#: 8e98b4a1af50ce0ea548696ca50ccf29cfc5d50c	TP_Semantic = 8   (Auto = 3   , Manual = 5  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	8	-CR_Fine =	13	-[#Contradicting FineDiffs =	24	(#Auto-Resolved:	6	, #Manual-Resolved:	18 )]	-Status = Succees
Commit#: a253b7b4e4a1ee07ac4dcda61850ee6f5f4397b5	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 3, FN = 0	-CR_Semantic =	0	-CR_Fine =	4	-[#Contradicting FineDiffs =	5	(#Auto-Resolved:	1	, #Manual-Resolved:	4  )]	-Status = Succees
Commit#: a506e4a7a5a5863767395b67a87d1dfb14a4a29a	TP_Semantic = 6   (Auto = 4   , Manual = 2  ), FP = 0, TN = 0, FN = 4	-CR_Semantic =	10	-CR_Fine =	11	-[#Contradicting FineDiffs =	23	(#Auto-Resolved:	10	, #Manual-Resolved:	13 )]	-Status = Succees	-->Not-Contains List = 	[#1]: Keep semantic difference ==> Extract Method - DiffEOperation.[findDependenciesFromEntryPoints()] - CONTRADICTING ( ADD | ADD ) -C-7	[#2]: Keep semantic difference ==> Extract Method - DiffEOperation.[forceInputToPathBasedModule()] - CONTRADICTING ( ADD | ADD ) -C-5	[#3]: Keep semantic difference ==> Extract Method - DiffEOperation.[processAMDAndCommonJSModules()] - DiffEOperation.[processAMDAndCommonJSModules()].CONTRADICTING ( MODIFY | MODIFY ) -C-10	[#4]: Keep semantic difference ==> Extract Method - DiffEOperation.[parseInputs()] - DiffEOperation.[parseInputs()].CONTRADICTING ( MODIFY | MODIFY ) -C-6
Commit#: acb20e5fa9f13493673e90ca0d1e28ededcac1c7	TP_Semantic = 2   (Auto = 2   , Manual = 0  ), FP = 0, TN = 0, FN = 0	-CR_Semantic =	2	-CR_Fine =	1	-[#Contradicting FineDiffs =	3	(#Auto-Resolved:	2	, #Manual-Resolved:	1  )]	-Status = Succees
Commit#: b0b57318ee30e3b6ca7f6fa57cb9099b8c41adf0	TP_Semantic = 0   (Auto = 0   , Manual = 0  ), FP = 0, TN = 3, FN = 0	-CR_Semantic =	0	-CR_Fine =	2	-[#Contradicting FineDiffs =	2	(#Auto-Resolved:	0	, #Manual-Resolved:	2  )]	-Status = Succees
Commit#: e3f2c15dfd370b53bbcd31067ea4d8f201c2a4cb	TP_Semantic = 2   (Auto = 2   , Manual = 0  ), FP = 0, TN = 3, FN = 0	-CR_Semantic =	2	-CR_Fine =	98	-[#Contradicting FineDiffs =	146	(#Auto-Resolved:	48	, #Manual-Resolved:	98 )]	-Status = Succees
